id,model_name,MAE,MSE,RMSE,R2_Score,Mean_Uncertainty,Uncertainty_Error_Correlation,MAE_norm,RMSE_norm,R2_Score_norm,Mean_Uncertainty_norm,composite_score
005613,ensemble100percent,8.003170747254803,118.74733290480728,10.897124983444362,0.6198706910173493,4.175173798665318,0.1266719030166629,0.0,0.0,1.0,0.9659547631911336,-0.1034045236808866
005614,dropconnect100percent,8.390358638877148,129.5678580847026,11.382787799335564,0.5852324498135633,4.161556014095045,0.0887371873298434,0.0169632640098146,0.0201167220950654,0.9902430774795434,0.961759076527911,-0.089052385610672
005615,ensemble75percent,8.408672280374114,129.41301991681598,11.375984349357026,0.5857281116892709,4.177089280915065,0.1240408859691957,0.0177656112484962,0.0198349152364226,0.9903826958420684,0.9665449299166704,-0.0883653271064213
005616,dropconnect75percent,8.566500963276036,134.43822441226578,11.59474986415256,0.5696416239709896,4.166306687912033,0.0712960535507021,0.024680315128229,0.0288964388308325,0.9858514434216544,0.9632227756099752,-0.0823069534227919
005617,flipout75percent,8.83951111795248,141.22600128269625,11.883854647491118,0.5479128586322888,4.0824238116582405,0.0729389459100384,0.0366412866134994,0.0408714972303596,0.9797308705372634,0.9373781704647988,-0.0752903932464651
005618,flipout100percentlastlayer,8.964746986638017,143.80333483172117,11.991802818247187,0.5396623994679213,4.102671290035389,0.1068177528145702,0.0421280519539904,0.0453428367702947,0.977406875783854,0.94361648878688,-0.0706656544653982
005619,ensemble50percent,8.94760738210819,142.36128250559926,11.931524735154316,0.5442786408675069,4.1643968166076855,0.10199069468074,0.041377140980393,0.0428460480388423,0.978707181691608,0.9626343376361792,-0.0700733317708937
005620,dropconnect50percent,9.017074163382205,145.21008220144782,12.050314610060926,0.5351591749113241,4.22011283760364,0.1080801219475195,0.044420581584193,0.0477664636502759,0.9761384045346232,0.9798006369717448,-0.0651494454809901
005621,flipout100percent,9.208047234433772,152.28540926264992,12.340397451567348,0.5125099151695744,3.9579221102325577,0.0333595439247418,0.0527873892584696,0.0597820343635152,0.9697585461825252,0.8990187643863268,-0.0650002667854299
005622,flipout75percentlastlayer,9.237407449812943,152.59124799058327,12.35278300588913,0.5115308762179995,4.126764743149646,0.1013925640988622,0.0540737029465735,0.0602950585155236,0.9694827698479584,0.951039765266311,-0.059074578709674
005623,ensemble25percent,9.537310535040444,160.0002316511367,12.649119797485383,0.4878135280447345,4.156379857128412,0.0718835508826881,0.0672128927873397,0.0725696751590606,0.962802051645328,0.960164284611533,-0.0478879222052581
005624,dropconnect25percent,9.767037823028312,167.16890991712748,12.92938165254346,0.4648654360841806,4.108327004701719,0.0381569899142487,0.0772775790048465,0.0841784491223402,0.95633801803767,0.9453590340940154,-0.0405671338594917
005625,dropconnect1percent,12.226524385040443,255.98272355828465,15.99946010208734,0.180558136023884,1.0400102543832153,0.0664413203097148,0.1850312582461819,0.2113446907177422,0.8762541511239739,0.0,-0.0378349197109993
005626,flipout50percent,9.908329133624871,175.99456881056648,13.266294464188803,0.4366130826677972,3.9334250185540953,0.0106996110345368,0.083467756579614,0.098133771993208,0.9483798765811666,0.8914711254651301,-0.0377016285399122
005627,flipout50percentlastlayer,9.859404138638524,173.3779240903027,13.167305118751624,0.4449893832131267,4.10455575781092,0.0444403099456168,0.0813242814746597,0.0940335174804592,0.9507393184173736,0.9441970998453284,-0.0349883858649402
005628,ensemble1percent,12.28764104302831,261.00101406678584,16.15552580595215,0.1644937810896979,1.223548110652174,-0.031935057534006,0.1877088678183762,0.217809114780058,0.8717291330807125,0.0565486501692167,-0.0282646800378528
005629,flipout25percentlastlayer,10.15758300656269,184.064115603682,13.567023092914743,0.4107811656787297,4.004256385611729,0.0606777897949554,0.0943879308505519,0.1105903036694257,0.9411035252463984,0.9132945153541342,-0.0259589900728177
005630,flipout25percent,10.760442477709809,203.3988164873272,14.261795696451662,0.3488876788399296,3.399351725788676,0.0069810355276458,0.1208000800710148,0.139368597842452,0.9236693272438432,0.7269212913804589,-0.0219111249295812
005631,ensemble10percent,10.318602903240649,187.61625441746867,13.69730829095515,0.3994101980985346,4.172718273791709,0.041388915672568,0.1014424464417715,0.1159868690154261,0.93790054363397,0.9651982074598948,-0.015687248699468
005632,ensemble5percent,10.946696659863498,210.0899930355461,14.49448146832256,0.3274681466674103,3.4025250018705764,-0.0001306929570735,0.1289601463674237,0.1490067147726377,0.9176358593606976,0.7278989887486942,-0.0144512000185092
