id,model_name,MAE,MSE,RMSE,R2_Score,Mean_Uncertainty,Uncertainty_Error_Correlation
005613,dropconnect100percent,8.390358638877148,129.5678580847026,11.382787799335564,0.5852324498135633,4.161556014095045,0.0887371873298434
005614,dropconnect10percent,10.372685306577353,191.94720170647648,13.854501135243972,0.3855461393450585,4.146487964484328,0.0699999870126996
005615,dropconnect1percent,12.226524385040443,255.98272355828465,15.99946010208734,0.180558136023884,1.0400102543832153,0.0664413203097148
005616,dropconnect25percent,9.767037823028312,167.16890991712748,12.92938165254346,0.4648654360841806,4.108327004701719,0.0381569899142487
005617,dropconnect50percent,9.017074163382205,145.21008220144782,12.050314610060926,0.5351591749113241,4.22011283760364,0.1080801219475195
005618,dropconnect5percent,11.204935583675429,216.72116218359392,14.721452448165362,0.3062407078329296,4.285673160920121,0.0510568069982783
005619,dropconnect75percent,8.566500963276036,134.43822441226578,11.59474986415256,0.5696416239709896,4.166306687912033,0.0712960535507021
005620,ensemble100percent,8.003170747254803,118.74733290480728,10.897124983444362,0.6198706910173493,4.175173798665318,0.1266719030166629
005621,ensemble10percent,10.318602903240649,187.61625441746867,13.69730829095515,0.3994101980985346,4.172718273791709,0.041388915672568
005622,ensemble1percent,12.28764104302831,261.00101406678584,16.15552580595215,0.1644937810896979,1.223548110652174,-0.031935057534006
005623,ensemble25percent,9.537310535040444,160.0002316511367,12.649119797485383,0.4878135280447345,4.156379857128412,0.0718835508826881
005624,ensemble50percent,8.94760738210819,142.36128250559926,11.931524735154316,0.5442786408675069,4.1643968166076855,0.10199069468074
005625,ensemble5percent,10.946696659863498,210.0899930355461,14.49448146832256,0.3274681466674103,3.4025250018705764,-0.0001306929570735
005626,ensemble75percent,8.408672280374114,129.41301991681598,11.375984349357026,0.5857281116892709,4.177089280915065,0.1240408859691957
005627,flipout100percent,9.208047234433772,152.28540926264992,12.340397451567348,0.5125099151695744,3.9579221102325577,0.0333595439247418
005628,flipout100percentlastlayer,8.964746986638017,143.80333483172117,11.991802818247187,0.5396623994679213,4.102671290035389,0.1068177528145702
005629,flipout10percent,12.247348015778565,261.7491849973974,16.178664499809535,0.1620987656236895,3.871416910465116,-0.046351465492308
005630,flipout10percentlastlayer,10.957984331880688,213.10738124794617,14.59819787672253,0.3178090017581809,4.05184496570273,0.0517129576140806
005631,flipout1percent,30.828252724303876,1227.7573877872587,35.03936911228938,-2.930248840132234,1.773861160859454,0.0907625504749619
005632,flipout1percentlastlayer,20.73005405086957,629.0341010163291,25.08055224703653,-1.0136393154829335,2.5808121147269967,-0.018781000725721
005633,flipout25percent,10.760442477709809,203.39881648732717,14.261795696451662,0.3488876788399296,3.399351725788676,0.0069810355276458
005634,flipout25percentlastlayer,10.15758300656269,184.064115603682,13.567023092914743,0.4107811656787297,4.004256385611729,0.0606777897949554
005635,flipout50percent,9.908329133624871,175.99456881056648,13.266294464188803,0.4366130826677972,3.9334250185540953,0.0106996110345368
005636,flipout50percentlastlayer,9.859404138638524,173.3779240903027,13.167305118751624,0.4449893832131267,4.10455575781092,0.0444403099456168
005637,flipout5percent,15.492664057740145,380.2517511845219,19.50004490211553,-0.2172470057334949,3.708485488372093,-0.015303895556
005638,flipout5percentlastlayer,12.590325803776542,275.9621018925964,16.61210708768145,0.116600932991685,1.4039248730687564,0.0720915406849847
005639,flipout75percent,8.83951111795248,141.22600128269625,11.883854647491118,0.5479128586322888,4.0824238116582405,0.0729389459100384
005640,flipout75percentlastlayer,9.237407449812943,152.59124799058327,12.35278300588913,0.5115308762179995,4.126764743149646,0.1013925640988622
